"Date","Related","Document Title"
1944-09-03,"Franklin D. Roosevelt","Executive Order 9476—Authorizing the Secretary of the Interior to Take Possession of and Operate the Mines, Collieries, and Preparation Facilities of Certain Coal Companies"
1944-09-05,"Franklin D. Roosevelt","Executive Order 9477—Authorizing the Secretary of War to Take Possession of and Operate the Plants and Facilities of the Cleveland Graphite Bronze Company, Located at Cleveland, Ohio"
1944-09-06,"Franklin D. Roosevelt","Executive Order 9479—Amending Executive Order No. 7021 of April 19, 1935, Authorizing the Governor of the Panama Canal to Arrange for the Operation by the Panama Railroad Company of Panama Canal Piers"
1944-09-06,"Franklin D. Roosevelt","Executive Order 9478—Authorizing the Secretary of the Interior to Take Possession of and Operate the Mines, Collieries, and Preparation Facilities of Certain Coal Companies"
1944-09-09,"Franklin D. Roosevelt","Executive Order 9480—Authorizing the Secretary of War to Take Possession of and Operate the Plants and Facilities of the Twentieth Century Brass Works, Inc., Located at Minneapolis, Minnesota"
1944-09-12,"Franklin D. Roosevelt","Executive Order 9481—Authorizing the Secretary of the Interior to Take Possession of and Operate Certain Mines, Collieries, and Preparation Facilities"
1944-09-14,"Franklin D. Roosevelt","Executive Order 9482—Authorizing the Secretary of the Interior to Take Possession of and Operate Certain Mines, Collieries, and Preparation Facilities"
1944-09-19,"Franklin D. Roosevelt","Executive Order 9483—Authorizing the Secretary of the Interior to Take Possession of and Operate Certain Mines, Collieries, and Preparation Facilities"
1944-09-23,"Franklin D. Roosevelt","Executive Order 9484—Authorizing the Secretary of War to Take Possession of and Operate the Plants and Facilities of the Farrell Cheek Steel Company, Located at Sandusky, Ohio"
1944-09-29,"Franklin D. Roosevelt","Executive Order 9485—Relinquishing Possession of the Plant and Facilities of Remington Rand Inc. in the Town of Southport, County of Chemung, State of New York"
1944-09-30,"Franklin D. Roosevelt","Executive Order 9487—Regulations Governing the Issuance of Non-Necessity Certificates Under Section 124(d) of the Internal Revenue Code"
1944-09-30,"Franklin D. Roosevelt","Executive Order 9486—Transfer of Functions With Respect to Non-Necessity Certificates From the Secretary of War and the Secretary of the Navy to the Chairman of the War Production Board"
1944-10-03,"Franklin D. Roosevelt","Executive Order 9488—Transfer of the Records, Property, Funds and Personnel of the Office of War Mobilization and Its Constituent Agencies"
1944-10-18,"Franklin D. Roosevelt","Executive Order 9489—Authorizing and Directing the Secretary of War to Designate a Military Commander for the Territory of Hawaii and Authorizing the Military Commander to Prescribe Said Territory, or Any Part Thereof, as a Military Area, and for Other Purposes"
1944-10-20,"Franklin D. Roosevelt","Executive Order 9490—Transfer of Functions of the Secretary of War and the Secretary of the Navy Under Section 124 of the Internal Revenue Code, to the Chairman of the War Production Board"
1944-10-20,"Franklin D. Roosevelt","Executive Order 9491—Regulations Governing the Issuance of Payment Certificates Under Section 124(H) of the Internal Revenue Code"
1944-10-24,"Franklin D. Roosevelt","Executive Order 9492—Regulations Governing Non-Military and Non-Naval Transportation on Army and Navy Air Transports"
1944-10-24,"Franklin D. Roosevelt","Executive Order 9493—Authorizing and Directing the Secretary of the Navy to Take Possession of the Plants and Facilities of the Lord Manufacturing Company, Located at Erie, Pennsylvania"
1944-10-30,"Franklin D. Roosevelt","Executive Order 9495—Extension of the Provisions of Executive Order No. 9177 of May 30, 1942, to the United States Maritime Commission and the Administrator of the War Shipping Administration"
1944-10-30,"Franklin D. Roosevelt","Executive Order 9494—Authorizing the Civil Service Cnmmiminn to Confer a Classified Status Upon Certain Employees of the Department of Justice"
1944-11-03,"Franklin D. Roosevelt","Executive Order 9496—Authorizing the Secretary of War to Take Possession of and Operate the Plants and Facilities of Certain Companies Located in or Near Toledo, Ohio"
1944-11-06,"Franklin D. Roosevelt","Executive Order 9497—Amendment of Executive Order No. 9039 Authorizing Sick and Rest Leave for Alien Employees of the Panama Canal and the Panama Railroad Company, and Correction of Section 4 of Executive Order No. 9467 Relating to Conditions of Employment in the Service of the Panama Canal and the Panama Railroad Company"
1944-11-11,"Franklin D. Roosevelt","Executive Order 9499—Inspection of Income, Excess-Profits, Declared Value Excess-Profits, and Capital Stock Tax Returns by the Department of Commerce"
1944-11-11,"Franklin D. Roosevelt","Executive Order 9498—Amending Executive Order 9079 of February 26, 1942, Making Certain Public Health Service Hospitals Available for the Care and Treatment of Insane Persons"
1944-11-14,"Franklin D. Roosevelt","Executive Order 9500—Extension of Trust Periods on Indian Lands Expiring the During Calendar Year 1945"
1944-11-21,"Franklin D. Roosevelt","Executive Order 9501—Regulations Governing Recall to Active Duty of Retired Commissioned Officers of the Public Health Service"
1944-11-24,"Franklin D. Roosevelt","Executive Order 9502—Establishing Special Temporary Positions in the Public Health Service"
1944-11-27,"Franklin D. Roosevelt","Executive Order 9504—Revoking the Designation of Dunkirk, New York, as a Customs Port of Entry"
1944-11-27,"Franklin D. Roosevelt","Executive Order 9503—Appointment of Disabled Veterans Completing Courses of Instruction Prescribed Pursuant to the Act of March 24, 1943"
1944-12-06,"Franklin D. Roosevelt","Executive Order 9505—Authorizing the Secretary of War to Take Possession of and Operate the Plants and Facilities of Cudahy Brothers Company of Cudahy, Wisconsin"
1944-12-12,"Franklin D. Roosevelt","Executive Order 9506—Modifying the Conditions Upon Which a Classified Status May Be Granted"
1944-12-20,"Franklin D. Roosevelt","Executive Order 9507—Amending the Foreign Service Regulations of the United States"
1944-12-27,"Franklin D. Roosevelt","Executive Order 9508—Authorizing the Secretary of War to Take Possession of and to Operate Certain Plants and Facilities of Montgomery Ward & Co., Incorporated"
1945-01-12,"Franklin D. Roosevelt","Executive Order 9511—AUTHORIZING THE SECRETARY OF WAR TO TAKE POSSESSION OF AND OPERATE THE PROPERTIES OF THE CLEVELAND ELECTRIC ILLUMINATING COMPANY, LOCATED IN AND AROUND CLEVELAND, OHIO"
1945-02-18,"Franklin D. Roosevelt","Executive Order 9523—AUTHORIZING THE SECRETARY OF WAR TO TAKE POSSESSION OF AND OPERATE THE PLANTS AND FACILITIES OF THE AMERICAN ENKA CORPORATION LOCATED AT OR NEAR ENKA, NORTH CAROLINA"
1945-02-18,"Franklin D. Roosevelt","Executive Order 9524—AMENDING EXECUTIVE ORDER NO. 9195 OF JULY 7, 1942, PRESCRIBING REGULATIONS RELATING TO AERIAL FLIGHTS BY PERSONNEL OF THE ARMY, NAVY, MARINE CORPS, COAST GUARD, AND NATIONAL GUARD"
1945-03-15,"Franklin D. Roosevelt","Executive Order 9531—MAKING CERTAIN CHANGES IN THE CUSTOMS FIELD ORGANIZATION"
1945-03-23,"Franklin D. Roosevelt","Executive Order 9533—CHANGING THE NAME OF THE CUSTOMS PORT OF ENTRY OF MARSHFIELD, OREGON, TO COOS BAY, OREGON"
1945-04-13,"Harry S. Truman","Executive Order 9538—Authorizing Certification for Probational Appointment of Persons Who Lost Opportunity for Probational Appointment Because of Entry Into the Armed Forces"
1945-04-13,"Harry S. Truman","Executive Order 9539—Reinstating Avra M. Warren in the Foreign Service of the United States"
1945-04-17,"Harry S. Truman","Executive Order 9540—Authorizing the Petroleum Administratior to Take the Posession of and to the Cities Service Refining Corporation, Located in and Around Lake Charles, Louisiana"
1945-04-19,"Harry S. Truman","Executive Order 9541—Transferring the Office of Surplus Property of the Procurement Division of the Department of the Treasury to the Department of Commerce"
1945-04-23,"Harry S. Truman","Executive Order 9543—Designating the Reconstruction Finance Corporation as the Agency to Act With Respect to Certain Bonds, Notes, and Other Securities Acquired on Behalf of the United States Under the Provisions of the Transportation Act, 1920"
1945-04-23,"Harry S. Truman","Executive Order 9542—Authorizing the Secretary of the Navy to Take Possession of And to Operate the Plants and Facilities of the United Engineering Company, Ltd. Located At San Francisco, California"
1945-04-25,"Harry S. Truman","Executive Order 9544—Authorizing and Directing the Secretary of War to Assume Full Control of a Certain Airport"
1945-04-27,"Harry S. Truman","Executive Order 9545—Restoring Certain Lands Comprising Part of the Aiea Military Reservation to the Use of the Territory of Hawaii"
1945-05-01,"Harry S. Truman","Executive Order 9546—Inspection By the Federal Security Agency of Statistical Transcript Punch Cards Prepared from Individual Income Tax Returns"
1945-05-02,"Harry S. Truman","Executive Order 9547—Providing for Representation of the United States in Preparing and Prosecuting Charges of Atrocities and War Crimes Against the Leaders of the European Axis Powers and Their Principal Agents and Accessories"
1945-05-03,"Harry S. Truman","Executive Order 9548—Authorizing the Secretary of the Interior to Take Possession of and to Operate Certain Coal Mines"
1945-05-08,"Harry S. Truman","Executive Order 9549—Designation of Mrs. Ruth W. Talley and Mrs. Alice M. Grove to Sign Land Patents"
1945-05-10,"Harry S. Truman","Executive Order 9550—Relating to Aerial Flights By Personnel of the Coast and Geodetic Survey"
1945-05-16,"Harry S. Truman","Executive Order 9551—Providing for the Transfer to the Republic of Panama of the Water and Sewage Systems Installed By the United States in the Cities of Panama and Colon"
1945-05-19,"Harry S. Truman","Executive Order 9552—Authorizing the Secretary of War to Take Possession of and Operate the Plants and Facilities of the Cocker Machine and Foundry Company, Located At Gastonia, North Carolina"
1945-05-22,"Harry S. Truman","Executive Order 9553—Creating An Emergency Board to Investigate a Dispute Between the River Terminal Railway Company and Its Employees"
1945-05-23,"Harry S. Truman","Executive Order 9554—Possession and Operation of Property of Motor Carriers in and About the City of Chicago, Illinois"
1945-05-24,"Harry S. Truman","Executive Order 9555—Creating An Emergency Board to Investigate a Dispute Between the Illinois Central Railroad Company and Its Employees"
1945-05-26,"Harry S. Truman","Executive Order 9558—Reinstating Certain Former Foreign Service Officers"
1945-05-26,"Harry S. Truman","Executive Order 9557—Amendment of Executive Order 9210 of August 1, 1942, Prescribing Regulations Governing the Payment of Additional Compensation to Enlisted Men of the Navy and Coast Guard Specially Qualified in the Use of Arms"
1945-05-26,"Harry S. Truman","Executive Order 9556—Providing for the Exercise of Certain Functions, Duties, and Powers of the President With Respect to Certain Court Martial Cases By the Secretary of War, the Under Secretary of War, the Secretary of the Navy and the Under Secretary of the Navy"
1945-05-28,"Harry S. Truman","Executive Order 9559—Authorizing the Secretary of War to Take Possession of and Operate the Plants and Facilities of the Gaffney Manufacturing Company, Located At Gaffney, South Carolina"
1945-06-01,"Harry S. Truman","Executive Order 9560—Authorizing the Secretary of War to Take Possession of and Operate the Plants and Facilities of the Mary-Leila Cotton Mills, Inc., Located At Greensboro, Georgia"
1945-06-01,"Harry S. Truman","Executive Order 9561—Amending Executive Order No. 9386 of October 15, 1943, Prescribing Regulations Governing the Granting of Allowances for Quarters and Subsistence to Enlisted Men"
1945-06-04,"Harry S. Truman","Executive Order 9562—Termination of the Office of Civilian Defense"
1945-06-04,"Harry S. Truman","Executive Order 9563—Amendment of Rule 46 of Executive Order No. 4314 of September 25, 1925, Establishing Rules Governing Navigation of the Panama Canal and Adjacent Waters"
1945-06-05,"Harry S. Truman","Executive Order 9564—Authorizing the Petroleum Administrator to Take Possession of and Operate the Plants and Facilities of the Humble Oil and Refining Company Located in Ingleside, Texas"
1945-06-05,"Harry S. Truman","Executive Order 9565—Authorizing the Petroleum Administrator to Take Possession of and Operate the Plants and Facilities At the Cabin Creek Oil Field of the Pure Oil Company Located At Dawes, West Virginia"
1945-06-05,"Harry S. Truman","Executive Order 9566—Revocation of Executive Order 9090 of March 6, 1942, Establishing An Airspace Reservation Over Portions of Ulster and Dutchess Counties, New York"
1945-06-08,"Harry S. Truman","Executive Order 9568—Providing for the Release of Scientific Information"
1945-06-08,"Harry S. Truman","Executive Order 9567—Amending Executive Order No. 9095, as Amended by Executive Order No. 9193, to Define Further the Functions and Duties of the Alien Property Custodian With Respect to Property of Germany and Japan and Nationals Thereof"
1945-06-14,"Harry S. Truman","Executive Order 9570—Possession and Operation of the Transportation System, Plants, and Facilities of the Scranton Transit Company Located in and About the City of Scranton, Pennsylvania"
1945-06-14,"Harry S. Truman","Executive Order 9569—Inspection By the Office of Price Administration of Corporation Statistical Transcript Cards Prepared from Income and Declared Value Excess Profits Tax Returns"
1945-06-15,"Harry S. Truman","Executive Order 9571—Authorizing the Secretary of the Interior to Acquire and Dispose of Certain Property"
1945-06-15,"Harry S. Truman","Executive Order 9572—Possession, Control, and Operation of the Toledo, Peoria & Western Railroad"
1945-06-16,"Harry S. Truman","Executive Order 9573—Creating An Emergency Board to Investigate a Dispute Between the Georgia and Florida Railroad and Its Employees"
1945-06-18,"Harry S. Truman","Executive Order 9574—Authorizing the Secretary of War to Take Possession of and Operate the Plants and Facilities of the Diamond Alkali Company, Located in Or Around Painesville, Ohio"
1945-06-21,"Harry S. Truman","Executive Order 9575—Declaring the Commissioned Corps of the Public Health Service to Be a Military Service and Prescribing Regulations Therefor"
1945-06-28,"Harry S. Truman","Executive Order 9576—Creating an Emergency Board to Investigate a Dispute Between the Erie Railroad Company and Its Employees"
1945-06-29,"Harry S. Truman","Executive Order 9577—Terminating the War Food Administration and Transferring Its Functions to the Secretary of Agriculture"
1945-06-30,"Harry S. Truman","Executive Order 9578—Approving Regulations of the Civil Service Commission Under the Federal Employees Pay Act of 1945"
1945-06-30,"Harry S. Truman","Executive Order 9579—Amendment of Executive Order No. 8937 of November 7, 1941, Extending the Period of Elibibility On Civil Service Registers Or Lists of Persons Who Serve in the Armed Forces of the United States"
1945-06-30,"Harry S. Truman","Executive Order 9580—Amendment of Executive Order No. 1888 of February 2, 1914, as Amended, Relating to Conditions of Employment in the Service of the Panama Canal and the Panama Railroad Company On the Isthmus of Panama"
1945-06-30,"Harry S. Truman","Executive Order 9581—Amending Executive Order No. 9299 of February 4, 1943, to Give the Territorial War Labor Board for the Territory of Hawaii Jurisdiction Over Voluntary Wage and Salary Adjustments of Employees in the Territory of Hawaii Subject to the Railway Labor Act"
1945-06-30,"Harry S. Truman","Executive Order 9582—Restoring Land to the Territory of Hawaii for Aeronautical Purposes, and Reserving Land for Military Purposes"
1945-07-01,"Harry S. Truman","Executive Order 9577-A—Authorizing the Petroleum Administrator to Take Possession of and Operate the Plants and Facilities of the Texas Company Located in and Around Port Arthur, Texas"
1945-07-02,"Harry S. Truman","Executive Order 9583—Amendment of Executive Order 9356 of June 24, 1943, Prescribing Regulations Governing the Furnishing of Clothing in Kind Or Payment of Cash Allowances in Lieu Thereof to Enlisted Personnel of the Navy, the Coast Guard, the Naval Reserve, and the Coast Guard Reserve"
1945-07-03,"Harry S. Truman","Executive Order 9584—Suspending Certain Statutory Provisions Relating to Employment in the Canal Zone"
1945-07-04,"Harry S. Truman","Executive Order 9585—Authorizing the Secretary of the Navy To Take Possession of and Operate the Plants and Facilities of Goodyear Tire & Rubber Company Inc., Located at Akron, Ohio"
1945-07-06,"Harry S. Truman","Executive Order 9586—The Medal of Freedom"
1945-07-06,"Harry S. Truman","Executive Order 9588—Creating An Emergency Board to Investigate the Disputes Between the Chicago, North Shore, & Milwaukee Railroad Company and the Chicago Aurora & Elgin Railroad Company and Their Employees"
1945-07-06,"Harry S. Truman","Executive Order 9587—Amending Executive Order 8588 Entitled ""Prescribing Regulations Governing the Payment of Expenses of Transportation of Household Goods and Personal Effects of Certain Civilian Officers and Employees of the United States"" and Prescribing Regulations Governing the Payment of Expenses of Transportation of the Immediate Family of Civilian Officers and Employees of the Government"
1945-07-16,"Harry S. Truman","Executive Order 9589—Restricting Competition in Certain Civil Service Examinations to Veterans"
1945-07-19,"Harry S. Truman","Executive Order 9589-A—Authorizing the Petroleum Administrator To Take Possession of and Operate the Butadiene Plant Operated by Sinclair Rubber, Inc., at Houston, Texas"
1945-07-21,"Harry S. Truman","Executive Order 9590—Establishing Certain Awards for the Coast and Geodetic Survey"
1945-07-21,"Harry S. Truman","Executive Order 9591—Amending the Foreign Service Regulations of the United States"
1945-07-21,"Harry S. Truman","Executive Order 9592—Extension of the Provisions of Executive Order No. 9001 of December 27, 1941, to Contracts of the Office of War Information and the Office of Alien Property Custodian"
1945-07-23,"Harry S. Truman","Executive Order 9592-A—Amendment of Executive Order No. 9400 of December 3, 1943, Authorizing the Secretary of the Navy to Take Possession of and Operate the Shipyard of the Los Angeles Shipbuilding and Drydock Corporation At Los Angeles, California"
1945-07-25,"Harry S. Truman","Executive Order 9593—Authorizing the Secretary of War to Take Possession of and Operate the Plants and Facilities of the Springfield Plywood Corporation, Located At Springfield, Oregon"
1945-07-28,"Harry S. Truman","Executive Order 9594—Designating the Chief of Engineers, United States Army, as a Member of the Federal Fire Council in Lieu of the Quartermaster General"
1945-07-30,"Harry S. Truman","Executive Order 9595—Authorizing the Secretary of War to Take Possession of and Operate the Plants and Facilities of the United States Rubber Company, Located in Or Around Detroit, Michigan"
1945-08-13,"Harry S. Truman","Executive Order 9596—Revoking Executive Order No. 9528 Which Provides a Change in the Order of Succession of Officers to Act as Secretary of the Navy"
1945-08-14,"Harry S. Truman","Executive Order 9597—Amending Executive Order No. 9240 Entitled ""Regulations Relating to Overtime Wage Compensation"""
1945-08-17,"Harry S. Truman","Executive Order 9598—Modifying the Conditions Upon Which a Classified Status May Be Granted"
1945-08-18,"Harry S. Truman","Executive Order 9599—Providing for Assistance to Expanded Production and Continued Stabilization of the National Economy During the Transition from War to Peace, and for the Orderly Modification of Wartime Controls Over Prices, Wages, Materials and Facilities"
1945-08-18,"Harry S. Truman","Executive Order 9600—Amending Executive Order No. 9240 Entitled ""Regulations Relating to Overtime Wage Compensation"""
1945-08-21,"Harry S. Truman","Executive Order 9601—Revocation of Executive Order 9240 as Amended, Entitled ""Regulations Relating to Overtime Compensation"""
1945-08-23,"Harry S. Truman","Executive Order 9602—Possession, Control, and Operation of the Transportation System, Plants, and Facilities of the Illinois Central Railroad Company"
1945-08-25,"Harry S. Truman","Executive Order 9604—Providing for the Release of Scientific Information (Extension and Amendment of Executive Order No. 9568)"
1945-08-25,"Harry S. Truman","Executive Order 9603—Termination of Possession of Certain Property Taken By the Government"
1945-08-29,"Harry S. Truman","Executive Order 9605—Revoking Paragraph 4 of Executive Order No. 9279 of December 5, 1942, So as to Permit Voluntary Enlistments in the Armed Forces"
1945-08-29,"Harry S. Truman","Executive Order 9606—Adopting and Ratifying the Capture of the German Motor Vessel ""Caribia"""
1945-08-30,"Harry S. Truman","Executive Order 9607—Revoking Executive Order 9301 of February 9, 1943, Establishing a Minimum Wartime Workweek of Forty-Eight Hours"
1945-08-31,"Harry S. Truman","Executive Order 9608—Providing for the Termination of the Office of War Information, and for the Disposition of Its Functions and of Certain Functions of the Office of Inter-american Affairs"
1945-09-05,"Harry S. Truman","Executive Order 9609—Authorizing the National Advisory Committee for Aeronautics to Acquire and Dispose of Property"
1945-09-06,"Harry S. Truman","Executive Order 9610—Authorizing the Administrator of Veterans' Affairs to Acquire and Dispose of Property"
1945-09-10,"Harry S. Truman","Executive Order 9611—Reestablishing the Advisory Board on Just Compensation"
1945-09-12,"Harry S. Truman","Executive Order 9612—Amending Executive Order 8902 Prescribing Regulations Pertaining to the Entry of Coffee Into the United States from Countries Signatories of the Inter-american Coffee Agreement"
1945-09-13,"Harry S. Truman","Executive Order 9613—Withdrawing and Reserving for the Use of the United States Lands Containing Radio-active Mineral Substances"
1945-09-14,"Harry S. Truman","Executive Order 9614—Termination of the War Refugee Board"
1945-09-14,"Harry S. Truman","Executive Order 9616—Relating to the United States High Commissioner to the Philippine Islands"
1945-09-14,"Harry S. Truman","Executive Order 9616-A—Creation of a Special Temporary Position in the Public Health Service"
1945-09-14,"Harry S. Truman","Executive Order 9615—Making Certain Time Limitations Imposed By Executive Order No. 4601 of March 1, 1927, Prescribing Regulations Pertaining to the Award of the Distinguished Flying Cross, Inapplicable to Certain Cases"
1945-09-19,"Harry S. Truman","Executive Order 9618—Appointment of Edwin G. Arnold, Director, Division of Territories and Island Possessions, Department of the Interior, as Administrator of the Puerto Rico Reconstruction Adminstration"
1945-09-19,"Harry S. Truman","Executive Order 9617—Transfer of Certain Agencies and Functions to the Department of Labor"
1945-09-19,"Harry S. Truman","Executive Order 9619—Amending Subdivision Vii of Schedule a of the Civil Service Rules"
1945-09-20,"Harry S. Truman","Executive Order 9622—Revocation of Executive Order 9103 of March 18, 1942, Providing Uniform Control Over the Publication and Use of Federal Statistical Information Which Would Give Aid and Comfort to the Enemy"
1945-09-20,"Harry S. Truman","Executive Order 9624—Reinstating Wilys R. Peck in the Foreign Service of the United States"
1945-09-20,"Harry S. Truman","Executive Order 9623—Reinstating Leland B. Morris in the Foreign Service of the United States"
1945-09-20,"Harry S. Truman","Executive Order 9621—Termination of the Office of Strategic Services and Disposition of Its Functions"
1945-09-20,"Harry S. Truman","Executive Order 9620—Abolishing the Office of Economic Stabilization and Transferring Its Functions to the Office of War Mobilization and Reconversion"
1945-09-21,"Harry S. Truman","Executive Order 9625—Revoking Executive Order 9294 of January 4, 1943, Further Defining the Functions and Duties of the Office of Defense Transportation"
1945-09-24,"Harry S. Truman","Executive Order 9627—Amending Executive Order 9611 of September 10, 1945, Reestablishing the Advisory Board On Just Compensation"
1945-09-24,"Harry S. Truman","Executive Order 9626—Appointment of the Member and Alternate Member for the United States of the International Military Tribunal Established for the Trial and Punishment of the Major War Criminals of the European Axis"
1945-09-25,"Harry S. Truman","Executive Order 9628—Authorizing the Appointment to Positions of Contact Representative, Veterans Administration, Without Regard to the Requirements of the Civil Service Rules"
1945-09-25,"Harry S. Truman","Executive Order 9629—Amending Executive Order 9492, Prescribing Regulations Governing Non-military and Non-naval Transportation On Army and Navy Air Transports"
1945-09-27,"Harry S. Truman","Executive Order 9630—Redistribution of Foreign Economic Functions and Functions With Respect to Surplus Property in Foreign Areas"
1945-09-28,"Harry S. Truman","Executive Order 9634—Providing for the Establishment of Fishery Conservation Zones"
1945-09-28,"Harry S. Truman","Executive Order 9633—Reserving and Placing Certain Resources of the Continental Shelf Under the Control and Jurisdiction of the Secretary of the Interior"
1945-09-28,"Harry S. Truman","Executive Order 9631—Termination of the Office of Censorship"
1945-09-28,"Harry S. Truman","Executive Order 9632—Transfer of Jurisdiction from the War Department to the Department of the Interior Over the Interest of the United States in Certain Mineral Deposits in Jefferson Parish, Louisiana"
1945-09-29,"Harry S. Truman","Executive Order 9635—Organization of the Navy Department and the Naval Establishment"
1945-10-03,"Harry S. Truman","Executive Order 9637—Medal for Merit"
1945-10-03,"Harry S. Truman","Executive Order 9636—Observance by Government Agencies of Holidays Falling on Sundays"
1945-10-04,"Harry S. Truman","Executive Order 9638—Creating the Civilian Production Administration and Terminating the War Production Board"
1945-10-04,"Harry S. Truman","Executive Order 9639—Authorizing the Secretary of the Navy to Take Possession of and Operate Certain Plants and Facilities Used in the Transportation, Refining and Processing of Petroleum and Petroleum Products"
1945-10-05,"Harry S. Truman","Executive Order 9640—Creating An Emergency Board to Investigate the Disputes Between the Railway Express Agency, Inc., and Certain of Its Employees"
1945-10-15,"Harry S. Truman","Executive Order 9641—Sale of Certain Combatant Vessels of the Navy"
1945-10-18,"Harry S. Truman","Executive Order 9642—Amendment of Executive Order 9356 of June 24, 1943, as Amended, Prescribing Regulations Governing the Furnishing of Clothing in Kind Or Payment of Cash Allowances in Lieu Thereof to Enlisted Personnel of the Navy, the Coast Guard, the Naval Reserve, and the Coast Guard Reserve"
1945-10-19,"Harry S. Truman","Executive Order 9643—Transferring Certain Personnel, Records, Property, and Funds of the Department of Commerce, With Resepct to Surplus Property, to the Reconstruction Finance Corporation"
1945-10-19,"Harry S. Truman","Executive Order 9644—Authorizing the Civil Service Commission to Confer a Competitive Classfied Civil-service Status Upon Certain Disabled Veterans"
1945-10-24,"Harry S. Truman","Executive Order 9645—Termination of the Authority Conferred By Executive Order No. 9489 of October 18, 1944"
1945-10-25,"Harry S. Truman","Executive Order 9648—Discontinuing the Matagorda Bay Defensive Sea Area"
1945-10-25,"Harry S. Truman","Executive Order 9646—Coat of Arms, Seal, and Flag of the President of the United States"
1945-10-25,"Harry S. Truman","Executive Order 9647—Regulations Relating to the Giving of Public Notice and the Presentation of Views in Connection With Foreign Trade Agreements"
1945-10-29,"Harry S. Truman","Executive Order 9649—Termination of the Office of Fishery Coordination"
1945-10-29,"Harry S. Truman","Executive Order 9650—Discontinuing Portland, Maine; Portsmouth, New Hampshire; Boston, Massachusetts; Narragansett Bay; New London, Connecticut; New York Harbor; Delaware Bay and River; Chesapeake Bay-norfolk; Charleston Harbor; and Buzzards Bay and Vineyard Sound Defensive Sea Areas"
1945-10-30,"Harry S. Truman","Executive Order 9651—Amending Executive Order 9599, Providing for Assistance to Expanded Production and Continued Stablization of the National Economy During the Transition from War to Peace, and for the Orderly Modification of Wartime Controls Over Prices, Wages, Materials and Facilities"
1945-10-31,"Harry S. Truman","Executive Order 9652—Authorizing the Appointment of Certain Personnel in the Department of State"
1945-11-01,"Harry S. Truman","Executive Order 9653—Amending Schedules a and B of the Civil Service Rules"
1945-11-03,"Harry S. Truman","Executive Order 9654—Adopting and Ratifying the Capture of the German Steamship ""Milwaukee"""
1945-11-14,"Harry S. Truman","Executive Order 9655—Regulations Relating to Commissioned Officers and Employees of the Public Health Service"
1945-11-15,"Harry S. Truman","Executive Order 9656—Transfer of Shipbuilding Stabilization Committee"
1945-11-16,"Harry S. Truman","Executive Order 9657—Providing for the Representation of the United States in the Observation of Elections in Greece"
1945-11-21,"Harry S. Truman","Executive Order 9659—Extension of Trust Periods On Indian Lands Expiring During Calendar Year 1946"
1945-11-21,"Harry S. Truman","Executive Order 9658—Possession, Control, and Operation of the Transportation System, Plants, and Facilities of the Capital Transit Complany, Washington, District of Columbia"
1945-11-29,"Harry S. Truman","Executive Order 9661—Possession, Control, and Operation of the Transportation System, Plants, and Facilities of the Great Lakes Towing Company, Cleveland, Ohio"
1945-11-29,"Harry S. Truman","Executive Order 9660—Conferring Certain Authority Upon the Chief of Counsel in the Preparation and Prosectution of Charges of War Crimes Against the Major Leaders of Japan and Their Principal Agents and Accessories"
1945-11-29,"Harry S. Truman","Executive Order 9662—Restricting Competition in Certain Civil-service Examinations to Veterans"
1945-11-30,"Harry S. Truman","Executive Order 9663—Creating An Emergency Board to Investigate a Dispute Between the Texas & New Orleans Railway Company and Hospital Association of the Southern Pacific Lines in Texas and Lousiana, and Certain of Its Employees"
1945-12-18,"Harry S. Truman","Executive Order 9664—Continuing the Work of the Fair Employment Practice Committee"
1945-12-27,"Harry S. Truman","Executive Order 9665—Transfer of the Functions of the Smaller War Plants Corporation to the Reconstruction Finance Corporation and the Department of Commerce"
1945-12-28,"Harry S. Truman","Executive Order 9666—Directing the Return of the Coast Guard to the Treasury Department"
1945-12-28,"Harry S. Truman","Executive Order 9667—Revoking Executive Order 9074 of February, 25, 1942, Directing the Secretary of the Navy to Take Action Necessary to Protect Vessels, Harbors, Ports and Waterfront Facilities"
1945-12-28,"Harry S. Truman","Executive Order 9668—Amending Subdivision Iii of Schedule a of the Civil Service Rules"
1945-12-28,"Harry S. Truman","Executive Order 9669—Transfer of Air-navigation Facilities and Functions in Iran from the War Department to the Administrator of Civil Aeronautics"
1945-12-28,"Harry S. Truman","Executive Order 9670—Establishing the Tennessee National Wildlife Refuge"
1945-12-29,"Harry S. Truman","Executive Order 9671—Restoring Certain Lands to the Territory of Hawaii"
1945-12-31,"Harry S. Truman","Executive Order 9672—Establishing the National Wage Stabilization Board and Terminating the National War Labor Board"
1946-01-03,"Harry S. Truman","Executive Order 9673—Transfer of Certain Production Research and Development Functions from the Civilian Production Administration to the Department of Commerce"
1946-01-04,"Harry S. Truman","Executive Order 9674—Liquidation of War Agencies"
1946-01-05,"Harry S. Truman","Executive Order 9675—Creating An Emergency Board to Investigate the Disputes Between the St. Louis-san Francisco Railway Company and the St. Louis, San Francisco and Texas Railway Company, Carriers, and Certain of Their Eimployees"
1946-01-14,"Harry S. Truman","Executive Order 9676—Terminal Date for Filing Application for Non-Necessity Certificate Under Section 124(d) of the Internal Revenue Code"
1946-01-14,"Harry S. Truman","Executive Order 9677—Authorizing the Appointment of Certain Persons at the Home of Franklin D. Roosevelt National Historic Site, National Park Service, Without Regard to the Civil Service Rules"
